"Model","TestSet","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","AUC"
"RandomForest","internal",0.935483870967742,0.941176470588235,0.928571428571429,0.941176470588235,0.941176470588235,0.941176470588235,0.934873949579832
"RandomForest","external",0.923076923076923,0.928571428571429,0.916666666666667,0.928571428571429,0.928571428571429,0.928571428571429,0.922619047619048
"RandomForest","validation",0.880952380952381,0.833333333333333,0.928571428571429,0.921052631578947,0.833333333333333,0.875,0.880952380952381
"ANN","internal",0.806451612903226,0.705882352941177,0.928571428571429,0.923076923076923,0.705882352941177,0.8,0.817226890756303
"ANN","external",0.807692307692308,0.857142857142857,0.75,0.8,0.857142857142857,0.827586206896552,0.803571428571429
"ANN","validation",0.642857142857143,0.357142857142857,0.928571428571429,0.833333333333333,0.357142857142857,0.5,0.642857142857143
"SVM_Radial","internal",0.935483870967742,0.941176470588235,0.928571428571429,0.941176470588235,0.941176470588235,0.941176470588235,0.934873949579832
"SVM_Radial","external",0.846153846153846,0.928571428571429,0.75,0.8125,0.928571428571429,0.866666666666667,0.839285714285714
"SVM_Radial","validation",0.869047619047619,0.833333333333333,0.904761904761905,0.897435897435897,0.833333333333333,0.864197530864197,0.869047619047619
"SVM_Polynomial","internal",0.935483870967742,0.941176470588235,0.928571428571429,0.941176470588235,0.941176470588235,0.941176470588235,0.934873949579832
"SVM_Polynomial","external",0.846153846153846,0.928571428571429,0.75,0.8125,0.928571428571429,0.866666666666667,0.839285714285714
"SVM_Polynomial","validation",0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
