"Model","TestSet","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","AUC"
"RandomForest","internal",1,1,1,1,1,1,1
"RandomForest","external",0.923076923076923,0.928571428571429,0.916666666666667,0.928571428571429,0.928571428571429,0.928571428571429,0.922619047619048
"RandomForest","validation",0.785714285714286,0.595238095238095,0.976190476190476,0.961538461538461,0.595238095238095,0.735294117647059,0.785714285714286
"ANN","internal",0.903225806451613,0.882352941176471,0.928571428571429,0.9375,0.882352941176471,0.909090909090909,0.90546218487395
"ANN","external",0.923076923076923,1,0.833333333333333,0.875,1,0.933333333333333,0.916666666666667
"ANN","validation",0.571428571428571,0.285714285714286,0.857142857142857,0.666666666666667,0.285714285714286,0.4,0.571428571428571
"SVM_Radial","internal",0.935483870967742,1,0.857142857142857,0.894736842105263,1,0.944444444444444,0.928571428571429
"SVM_Radial","external",0.884615384615385,0.928571428571429,0.833333333333333,0.866666666666667,0.928571428571429,0.896551724137931,0.880952380952381
"SVM_Radial","validation",0.785714285714286,0.714285714285714,0.857142857142857,0.833333333333333,0.714285714285714,0.769230769230769,0.785714285714286
"SVM_Polynomial","internal",0.967741935483871,1,0.928571428571429,0.944444444444445,1,0.971428571428571,0.964285714285714
"SVM_Polynomial","external",0.884615384615385,0.928571428571429,0.833333333333333,0.866666666666667,0.928571428571429,0.896551724137931,0.880952380952381
"SVM_Polynomial","validation",0.595238095238095,0.452380952380952,0.738095238095238,0.633333333333333,0.452380952380952,0.527777777777778,0.595238095238095
